시도,시군구,읍면동,자격,연령구간,가구수,수급권자수
서울특별시,종로구,이화동,차상위장애인,18~64세,6,7
서울특별시,종로구,이화동,차상위장애인,65세이상,16,18
서울특별시,종로구,이화동,차상위본인부담경감대상자,18세미만,0,12
서울특별시,종로구,이화동,차상위본인부담경감대상자,18~64세,24,19
서울특별시,종로구,이화동,차상위본인부담경감대상자,65세이상,22,24
서울특별시,종로구,이화동,차상위계층 확인,18세미만,0,3
서울특별시,종로구,이화동,차상위계층 확인,18~64세,21,41
서울특별시,종로구,이화동,차상위계층 확인,65세이상,20,17
서울특별시,종로구,혜화동,모자가족,18세미만,0,13
서울특별시,종로구,혜화동,모자가족,18~64세,21,31
서울특별시,종로구,혜화동,부자가족,18세미만,0,5
서울특별시,종로구,혜화동,부자가족,18~64세,5,7
서울특별시,종로구,혜화동,차상위장애인,18세미만,1,3
서울특별시,종로구,혜화동,차상위장애인,18~64세,16,16
서울특별시,종로구,혜화동,차상위장애인,65세이상,9,9
서울특별시,종로구,혜화동,차상위자활,18~64세,5,5
서울특별시,종로구,혜화동,차상위본인부담경감대상자,18세미만,0,24
서울특별시,종로구,혜화동,차상위본인부담경감대상자,18~64세,29,17
서울특별시,종로구,혜화동,차상위본인부담경감대상자,65세이상,24,26
서울특별시,종로구,혜화동,차상위계층 확인,18세미만,0,6
서울특별시,종로구,혜화동,차상위계층 확인,18~64세,40,69
서울특별시,종로구,혜화동,차상위계층 확인,65세이상,19,22
서울특별시,종로구,창신1동,모자가족,18세미만,0,13
서울특별시,종로구,창신1동,모자가족,18~64세,12,15
서울특별시,종로구,창신1동,부자가족,18세미만,0,3
서울특별시,종로구,창신1동,부자가족,18~64세,3,4
서울특별시,종로구,창신1동,부자가족,65세이상,1,1
서울특별시,종로구,창신1동,차상위장애인,18세미만,0,1
서울특별시,종로구,창신1동,차상위장애인,18~64세,4,4
서울특별시,종로구,창신1동,차상위장애인,65세이상,4,3
서울특별시,종로구,창신1동,차상위자활,18~64세,3,3
서울특별시,종로구,창신1동,차상위본인부담경감대상자,18세미만,0,3
서울특별시,종로구,창신1동,차상위본인부담경감대상자,18~64세,14,13
서울특별시,종로구,창신1동,차상위본인부담경감대상자,65세이상,12,13
서울특별시,종로구,창신1동,청소년한부모모자가족,18세미만,0,1
서울특별시,종로구,창신1동,청소년한부모모자가족,18~64세,1,1
서울특별시,종로구,창신1동,차상위계층 확인,18세미만,0,2
서울특별시,종로구,창신1동,차상위계층 확인,18~64세,10,14
서울특별시,종로구,창신1동,차상위계층 확인,65세이상,9,9
서울특별시,종로구,창신2동,모자가족,18세미만,1,27
서울특별시,종로구,창신2동,모자가족,18~64세,36,48
서울특별시,종로구,창신2동,부자가족,18세미만,0,4
서울특별시,종로구,창신2동,부자가족,18~64세,6,11
서울특별시,종로구,창신2동,차상위장애인,18~64세,5,5
서울특별시,종로구,창신2동,차상위장애인,65세이상,9,9
서울특별시,종로구,창신2동,차상위본인부담경감대상자,18세미만,0,10
서울특별시,종로구,창신2동,차상위본인부담경감대상자,18~64세,23,18
서울특별시,종로구,창신2동,차상위본인부담경감대상자,65세이상,24,25
서울특별시,종로구,창신2동,청소년한부모모자가족,18세미만,0,2
서울특별시,종로구,창신2동,청소년한부모모자가족,18~64세,2,1
서울특별시,종로구,창신2동,청소년한부모부자가족,18세미만,0,1
서울특별시,종로구,창신2동,청소년한부모부자가족,18~64세,1,1
서울특별시,종로구,창신2동,차상위계층 확인,18세미만,0,1
서울특별시,종로구,창신2동,차상위계층 확인,18~64세,34,64
서울특별시,종로구,창신2동,차상위계층 확인,65세이상,8,6
서울특별시,종로구,창신3동,모자가족,18세미만,0,11
서울특별시,종로구,창신3동,모자가족,18~64세,7,9
서울특별시,종로구,창신3동,부자가족,18세미만,0,3
서울특별시,종로구,창신3동,부자가족,18~64세,2,2
서울특별시,종로구,창신3동,차상위장애인,18세미만,0,1
서울특별시,종로구,창신3동,차상위장애인,18~64세,7,6
서울특별시,종로구,창신3동,차상위장애인,65세이상,7,7
서울특별시,종로구,창신3동,차상위자활,18~64세,5,5
서울특별시,종로구,창신3동,차상위본인부담경감대상자,18세미만,0,18
서울특별시,종로구,창신3동,차상위본인부담경감대상자,18~64세,27,22
서울특별시,종로구,창신3동,차상위본인부담경감대상자,65세이상,12,12
서울특별시,종로구,창신3동,차상위계층 확인,18세미만,0,3
서울특별시,종로구,창신3동,차상위계층 확인,18~64세,11,23
서울특별시,종로구,창신3동,차상위계층 확인,65세이상,4,6
서울특별시,종로구,숭인1동,모자가족,18세미만,0,10
서울특별시,종로구,숭인1동,모자가족,18~64세,11,15
서울특별시,종로구,숭인1동,부자가족,18세미만,0,4
서울특별시,종로구,숭인1동,부자가족,18~64세,5,9
서울특별시,종로구,숭인1동,차상위장애인,18~64세,4,5
서울특별시,종로구,숭인1동,차상위장애인,65세이상,8,8
서울특별시,종로구,숭인1동,차상위본인부담경감대상자,18세미만,0,12
서울특별시,종로구,숭인1동,차상위본인부담경감대상자,18~64세,14,8
서울특별시,종로구,숭인1동,차상위본인부담경감대상자,65세이상,13,14
서울특별시,종로구,숭인1동,차상위계층 확인,18세미만,0,2
서울특별시,종로구,숭인1동,차상위계층 확인,18~64세,7,17
서울특별시,종로구,숭인1동,차상위계층 확인,65세이상,8,8
서울특별시,종로구,숭인2동,모자가족,18세미만,0,13
서울특별시,종로구,숭인2동,모자가족,18~64세,12,17
서울특별시,종로구,숭인2동,부자가족,18세미만,0,3
서울특별시,종로구,숭인2동,부자가족,18~64세,7,12
서울특별시,종로구,숭인2동,차상위장애인,18~64세,7,7
서울특별시,종로구,숭인2동,차상위장애인,65세이상,12,12
서울특별시,종로구,숭인2동,차상위자활,18~64세,3,3
서울특별시,종로구,숭인2동,차상위자활,65세이상,2,2
서울특별시,종로구,숭인2동,차상위본인부담경감대상자,18세미만,0,9
서울특별시,종로구,숭인2동,차상위본인부담경감대상자,18~64세,21,13
서울특별시,종로구,숭인2동,차상위본인부담경감대상자,65세이상,25,30
서울특별시,종로구,숭인2동,차상위계층 확인,18세미만,0,4
서울특별시,종로구,숭인2동,차상위계층 확인,18~64세,29,47
서울특별시,종로구,숭인2동,차상위계층 확인,65세이상,10,11
서울특별시,중구,소공동,모자가족,18세미만,0,2
서울특별시,중구,소공동,모자가족,18~64세,2,2
서울특별시,중구,소공동,차상위장애인,18~64세,1,1
서울특별시,중구,소공동,차상위본인부담경감대상자,65세이상,1,1
서울특별시,중구,소공동,차상위계층 확인,18~64세,1,1
서울특별시,중구,회현동,모자가족,18세미만,0,6
서울특별시,중구,회현동,모자가족,18~64세,5,7
서울특별시,중구,회현동,조손가족,18세미만,0,1
서울특별시,중구,회현동,조손가족,65세이상,1,1
서울특별시,중구,회현동,차상위장애인,18~64세,1,1
서울특별시,중구,회현동,차상위장애인,65세이상,9,9
서울특별시,중구,회현동,차상위본인부담경감대상자,18세미만,0,2
서울특별시,중구,회현동,차상위본인부담경감대상자,18~64세,7,6
서울특별시,중구,회현동,차상위본인부담경감대상자,65세이상,2,2
서울특별시,중구,회현동,차상위계층 확인,18세미만,0,1
서울특별시,중구,회현동,차상위계층 확인,18~64세,7,11
서울특별시,중구,회현동,차상위계층 확인,65세이상,4,4
서울특별시,중구,명동,모자가족,18세미만,0,1
서울특별시,중구,명동,모자가족,18~64세,1,1
서울특별시,중구,명동,부자가족,18세미만,0,3
서울특별시,중구,명동,부자가족,18~64세,2,3
서울특별시,중구,명동,부자가족,65세이상,1,1
서울특별시,중구,명동,차상위장애인,65세이상,1,1
서울특별시,중구,명동,차상위본인부담경감대상자,18세미만,0,9
서울특별시,중구,명동,차상위본인부담경감대상자,18~64세,6,2
서울특별시,중구,명동,차상위본인부담경감대상자,65세이상,6,7
서울특별시,중구,명동,차상위계층 확인,18~64세,2,3
서울특별시,중구,명동,차상위계층 확인,65세이상,1,1
서울특별시,중구,필동,모자가족,18세미만,0,2
서울특별시,중구,필동,모자가족,18~64세,4,6
서울특별시,중구,필동,차상위장애인,18~64세,1,1
서울특별시,중구,필동,차상위장애인,65세이상,4,4
서울특별시,중구,필동,차상위본인부담경감대상자,18~64세,4,4
서울특별시,중구,필동,차상위본인부담경감대상자,65세이상,7,8
서울특별시,중구,필동,차상위계층 확인,18~64세,1,2
서울특별시,중구,필동,차상위계층 확인,65세이상,6,6
서울특별시,중구,장충동,모자가족,18세미만,2,9
서울특별시,중구,장충동,모자가족,18~64세,7,13
서울특별시,중구,장충동,부자가족,18세미만,0,4
서울특별시,중구,장충동,부자가족,18~64세,3,4
서울특별시,중구,장충동,차상위장애인,18세미만,0,3
서울특별시,중구,장충동,차상위장애인,18~64세,4,1
서울특별시,중구,장충동,차상위장애인,65세이상,2,2
서울특별시,중구,장충동,차상위본인부담경감대상자,18세미만,0,7
서울특별시,중구,장충동,차상위본인부담경감대상자,18~64세,13,10
서울특별시,중구,장충동,차상위본인부담경감대상자,65세이상,3,4
서울특별시,중구,장충동,차상위계층 확인,18세미만,0,1
서울특별시,중구,장충동,차상위계층 확인,18~64세,6,10
서울특별시,중구,장충동,차상위계층 확인,65세이상,3,5
서울특별시,중구,광희동,모자가족,18세미만,0,3
서울특별시,중구,광희동,모자가족,18~64세,3,5
서울특별시,중구,광희동,부자가족,18세미만,0,4
서울특별시,중구,광희동,부자가족,18~64세,2,2
서울특별시,중구,광희동,차상위장애인,18~64세,3,3
서울특별시,중구,광희동,차상위장애인,65세이상,5,5
서울특별시,중구,광희동,차상위본인부담경감대상자,18~64세,4,5
서울특별시,중구,광희동,차상위본인부담경감대상자,65세이상,10,10
서울특별시,중구,광희동,차상위계층 확인,18세미만,0,2
서울특별시,중구,광희동,차상위계층 확인,18~64세,5,11
서울특별시,중구,광희동,차상위계층 확인,65세이상,7,6
서울특별시,중구,을지로동,모자가족,18세미만,0,2
서울특별시,중구,을지로동,모자가족,18~64세,1,1
서울특별시,중구,을지로동,부자가족,18세미만,0,2
서울특별시,중구,을지로동,부자가족,18~64세,3,4
서울특별시,중구,을지로동,차상위장애인,18~64세,2,2
서울특별시,중구,을지로동,차상위장애인,65세이상,5,5
서울특별시,중구,을지로동,차상위본인부담경감대상자,18세미만,0,2
서울특별시,중구,을지로동,차상위본인부담경감대상자,18~64세,7,6
서울특별시,중구,을지로동,차상위본인부담경감대상자,65세이상,2,2
서울특별시,중구,을지로동,차상위계층 확인,18~64세,2,4
서울특별시,중구,을지로동,차상위계층 확인,65세이상,4,4
서울특별시,중구,신당동,모자가족,18세미만,2,20
서울특별시,중구,신당동,모자가족,18~64세,22,30
서울특별시,중구,신당동,부자가족,18세미만,0,3
서울특별시,중구,신당동,부자가족,18~64세,5,8
서울특별시,중구,신당동,차상위장애인,18세미만,0,1
서울특별시,중구,신당동,차상위장애인,18~64세,7,7
서울특별시,중구,신당동,차상위장애인,65세이상,20,19
서울특별시,중구,신당동,차상위자활,18~64세,3,4
서울특별시,중구,신당동,차상위본인부담경감대상자,18세미만,0,5
서울특별시,중구,신당동,차상위본인부담경감대상자,18~64세,7,8
서울특별시,중구,신당동,차상위본인부담경감대상자,65세이상,19,19
서울특별시,중구,신당동,청소년한부모모자가족,18세미만,1,0
서울특별시,중구,신당동,청소년한부모모자가족,18~64세,0,1
서울특별시,중구,신당동,차상위계층 확인,18세미만,0,1
서울특별시,중구,신당동,차상위계층 확인,18~64세,10,15
서울특별시,중구,신당동,차상위계층 확인,65세이상,12,14
서울특별시,중구,다산동,모자가족,18세미만,0,18
서울특별시,중구,다산동,모자가족,18~64세,24,38
서울특별시,중구,다산동,부자가족,18세미만,0,10
서울특별시,중구,다산동,부자가족,18~64세,13,22
서울특별시,중구,다산동,부자가족,65세이상,1,1
서울특별시,중구,다산동,차상위장애인,18~64세,8,8
서울특별시,중구,다산동,차상위장애인,65세이상,16,18
서울특별시,중구,다산동,차상위자활,18~64세,1,2
서울특별시,중구,다산동,차상위자활,65세이상,1,0
서울특별시,중구,다산동,차상위본인부담경감대상자,18세미만,0,17
서울특별시,중구,다산동,차상위본인부담경감대상자,18~64세,29,23
서울특별시,중구,다산동,차상위본인부담경감대상자,65세이상,43,48
서울특별시,중구,다산동,청소년한부모모자가족,18세미만,0,2
서울특별시,중구,다산동,청소년한부모모자가족,18~64세,2,2
서울특별시,중구,다산동,차상위계층 확인,18세미만,0,3
서울특별시,중구,다산동,차상위계층 확인,18~64세,16,36
서울특별시,중구,다산동,차상위계층 확인,65세이상,18,26
서울특별시,중구,약수동,모자가족,18세미만,0,21
서울특별시,중구,약수동,모자가족,18~64세,32,52
서울특별시,중구,약수동,부자가족,18세미만,1,12
서울특별시,중구,약수동,부자가족,18~64세,12,19
서울특별시,중구,약수동,차상위장애인,18세미만,0,1
서울특별시,중구,약수동,차상위장애인,18~64세,17,17
서울특별시,중구,약수동,차상위장애인,65세이상,66,68
서울특별시,중구,약수동,차상위자활,65세이상,1,1
서울특별시,중구,약수동,차상위본인부담경감대상자,18세미만,0,14
서울특별시,중구,약수동,차상위본인부담경감대상자,18~64세,41,41
서울특별시,중구,약수동,차상위본인부담경감대상자,65세이상,93,105
서울특별시,중구,약수동,차상위계층 확인,18~64세,25,57
서울특별시,중구,약수동,차상위계층 확인,65세이상,56,66
서울특별시,중구,청구동,모자가족,18세미만,0,28
서울특별시,중구,청구동,모자가족,18~64세,24,30
서울특별시,중구,청구동,부자가족,18세미만,0,7
서울특별시,중구,청구동,부자가족,18~64세,6,10
서울특별시,중구,청구동,차상위장애인,18세미만,0,1
서울특별시,중구,청구동,차상위장애인,18~64세,15,15
서울특별시,중구,청구동,차상위장애인,65세이상,28,29
서울특별시,중구,청구동,차상위본인부담경감대상자,18세미만,1,7
서울특별시,중구,청구동,차상위본인부담경감대상자,18~64세,21,23
서울특별시,중구,청구동,차상위본인부담경감대상자,65세이상,50,54
서울특별시,중구,청구동,차상위계층 확인,18세미만,0,1
서울특별시,중구,청구동,차상위계층 확인,18~64세,19,34
서울특별시,중구,청구동,차상위계층 확인,65세이상,15,20
서울특별시,중구,신당5동,모자가족,18세미만,0,39
서울특별시,중구,신당5동,모자가족,18~64세,37,51
서울특별시,중구,신당5동,부자가족,18세미만,0,6
서울특별시,중구,신당5동,부자가족,18~64세,7,9
서울특별시,중구,신당5동,차상위장애인,18세미만,0,1
서울특별시,중구,신당5동,차상위장애인,18~64세,10,10
서울특별시,중구,신당5동,차상위장애인,65세이상,16,17
서울특별시,중구,신당5동,차상위자활,18~64세,2,3
서울특별시,중구,신당5동,차상위자활,65세이상,1,0
서울특별시,중구,신당5동,차상위본인부담경감대상자,18세미만,2,11
서울특별시,중구,신당5동,차상위본인부담경감대상자,18~64세,35,34
서울특별시,중구,신당5동,차상위본인부담경감대상자,65세이상,28,28
서울특별시,중구,신당5동,청소년한부모모자가족,18세미만,0,2
서울특별시,중구,신당5동,청소년한부모모자가족,18~64세,2,2
서울특별시,중구,신당5동,차상위계층 확인,18~64세,3,7
서울특별시,중구,신당5동,차상위계층 확인,65세이상,14,15
서울특별시,중구,동화동,모자가족,18세미만,2,18
서울특별시,중구,동화동,모자가족,18~64세,16,22
서울특별시,중구,동화동,부자가족,18세미만,0,2
서울특별시,중구,동화동,부자가족,18~64세,2,3
서울특별시,중구,동화동,차상위장애인,18~64세,3,3
서울특별시,중구,동화동,차상위장애인,65세이상,6,6
서울특별시,중구,동화동,차상위자활,18~64세,1,1
서울특별시,중구,동화동,차상위본인부담경감대상자,18세미만,0,10
서울특별시,중구,동화동,차상위본인부담경감대상자,18~64세,10,4
서울특별시,중구,동화동,차상위본인부담경감대상자,65세이상,7,8
서울특별시,중구,동화동,차상위계층 확인,18세미만,0,5
서울특별시,중구,동화동,차상위계층 확인,18~64세,8,15
서울특별시,중구,동화동,차상위계층 확인,65세이상,4,5
서울특별시,중구,황학동,모자가족,18세미만,0,23
서울특별시,중구,황학동,모자가족,18~64세,24,31
서울특별시,중구,황학동,부자가족,18세미만,0,6
서울특별시,중구,황학동,부자가족,18~64세,11,19
서울특별시,중구,황학동,차상위장애인,18세미만,0,2
서울특별시,중구,황학동,차상위장애인,18~64세,8,9
서울특별시,중구,황학동,차상위장애인,65세이상,20,18
서울특별시,중구,황학동,차상위자활,18~64세,1,1
서울특별시,중구,황학동,차상위본인부담경감대상자,18세미만,0,11
서울특별시,중구,황학동,차상위본인부담경감대상자,18~64세,14,9
서울특별시,중구,황학동,차상위본인부담경감대상자,65세이상,21,21
서울특별시,중구,황학동,차상위계층 확인,18세미만,0,2
서울특별시,중구,황학동,차상위계층 확인,18~64세,9,14
서울특별시,중구,황학동,차상위계층 확인,65세이상,5,4
서울특별시,중구,중림동,모자가족,18세미만,0,14
서울특별시,중구,중림동,모자가족,18~64세,16,23
서울특별시,중구,중림동,부자가족,18세미만,0,8
서울특별시,중구,중림동,부자가족,18~64세,11,18
서울특별시,중구,중림동,차상위장애인,18세미만,1,1
서울특별시,중구,중림동,차상위장애인,18~64세,7,7
서울특별시,중구,중림동,차상위장애인,65세이상,23,24
서울특별시,중구,중림동,차상위자활,65세이상,1,1
서울특별시,중구,중림동,차상위본인부담경감대상자,18세미만,1,2
서울특별시,중구,중림동,차상위본인부담경감대상자,18~64세,12,12
서울특별시,중구,중림동,차상위본인부담경감대상자,65세이상,23,28
서울특별시,중구,중림동,차상위계층 확인,18세미만,0,2
서울특별시,중구,중림동,차상위계층 확인,18~64세,11,30
서울특별시,중구,중림동,차상위계층 확인,65세이상,11,13
서울특별시,용산구,후암동,모자가족,18세미만,2,41
서울특별시,용산구,후암동,모자가족,18~64세,41,57
서울특별시,용산구,후암동,부자가족,18세미만,0,8
서울특별시,용산구,후암동,부자가족,18~64세,11,17
서울특별시,용산구,후암동,차상위장애인,18~64세,15,14
서울특별시,용산구,후암동,차상위장애인,65세이상,15,16
서울특별시,용산구,후암동,차상위자활,18~64세,3,3
서울특별시,용산구,후암동,차상위본인부담경감대상자,18세미만,0,27
서울특별시,용산구,후암동,차상위본인부담경감대상자,18~64세,37,19
서울특별시,용산구,후암동,차상위본인부담경감대상자,65세이상,28,30
서울특별시,용산구,후암동,차상위계층 확인,18세미만,0,3
서울특별시,용산구,후암동,차상위계층 확인,18~64세,3,8
서울특별시,용산구,후암동,차상위계층 확인,65세이상,19,25
서울특별시,용산구,용산2가동,모자가족,18세미만,16,54
서울특별시,용산구,용산2가동,모자가족,18~64세,49,56
서울특별시,용산구,용산2가동,부자가족,18세미만,1,13
서울특별시,용산구,용산2가동,부자가족,18~64세,9,13
서울특별시,용산구,용산2가동,부자가족,65세이상,1,1
서울특별시,용산구,용산2가동,차상위장애인,18~64세,10,10
서울특별시,용산구,용산2가동,차상위장애인,65세이상,10,10
서울특별시,용산구,용산2가동,차상위자활,65세이상,1,1
서울특별시,용산구,용산2가동,차상위본인부담경감대상자,18세미만,2,24
서울특별시,용산구,용산2가동,차상위본인부담경감대상자,18~64세,26,14
