pop,map
신월5동,신정3동
신월6동,신정4동
신월7동,신정6동
신정1동,신정7동
신정2동,신촌동
신정3동,쌍문1동
신정4동,쌍문2동
신정6동,쌍문3동
신정7동,쌍문4동
신촌동,아현동
쌍문1동,안암동
쌍문2동,암사1동
쌍문3동,암사2동
쌍문4동,암사3동
아현동,압구정동
안암동,약수동
암사1동,양재1동
암사2동,양재2동
암사3동,양평1동
압구정동,양평2동
약수동,여의동
양재1동,역삼1동
양재2동,역삼2동
양평1동,역촌동
양평2동,연남동
여의동,연희동
역삼1동,염리동
역삼2동,염창동
역촌동,영등포동
연남동,영등포본동
연희동,오금동
염리동,오류1동
염창동,오류2동
영등포동,오륜동
영등포본동,옥수동
오금동,왕십리2동
오류1동,왕십리도선동
오류2동,용강동
오륜동,용답동
옥수동,용문동
왕십리2동,용산2가동
왕십리도선동,용신동
용강동,우이동
용답동,우장산동
용문동,원효로1동
용산2가동,원효로2동
용신동,월계1동
우이동,월계2동
우장산동,월계3동
원효로1동,월곡1동
원효로2동,월곡2동
월계1동,위례동
월계2동,은천동
월계3동,을지로동
월곡1동,응봉동
월곡2동,응암1동
위례동,응암2동
은천동,응암3동
을지로동,이문1동
응봉동,이문2동
응암1동,이촌1동
응암2동,이촌2동
응암3동,이태원1동
이문1동,이태원2동
이문2동,이화동
이촌1동,인수동
이촌2동,인헌동
이태원1동,일원1동
이태원2동,일원2동
이화동,일원본동
인수동,자양1동
인헌동,자양2동
일원1동,자양3동
일원2동,자양4동
일원본동,잠실2동
자양1동,잠실3동
자양2동,잠실4동
자양3동,잠실6동
자양4동,잠실7동
잠실2동,잠실본동
잠실3동,잠원동
잠실4동,장안1동
잠실6동,장안2동
잠실7동,장위1동
잠실본동,장위2동
잠원동,장위3동
장안1동,장지동
장안2동,장충동
장위1동,전농1동
장위2동,전농2동
장위3동,정릉1동
장지동,정릉2동
장충동,정릉3동
전농1동,정릉4동
전농2동,제기동
정릉1동,조원동
정릉2동,종로1·2·3·4가동
정릉3동,종로5·6가동
정릉4동,종암동
제기동,중계1동
조원동,중계2·3동
종로1.2.3.4가동,중계4동
종로5.6가동,중계본동
종암동,중곡1동
중계1동,중곡2동
중계2.3동,중곡3동
중계4동,중곡4동
중계본동,중림동
중곡1동,중앙동
중곡2동,중화1동
중곡3동,중화2동
중곡4동,증산동
중림동,진관동
중앙동,창1동
중화1동,창2동
중화2동,창3동
증산동,창4동
진관동,창5동
창1동,창신1동
창2동,창신2동
창3동,창신3동
창4동,천연동
창5동,천호1동
창신1동,천호2동
창신2동,천호3동
창신3동,청구동
천연동,청담동
천호1동,청량리동
천호2동,청룡동
천호3동,청림동
청구동,청운효자동
청담동,청파동
청량리동,충현동
청룡동,평창동
청림동,풍납1동
청운효자동,풍납2동
청파동,필동
충현동,하계1동
평창동,하계2동
풍납1동,한강로동
풍납2동,한남동
필동,합정동
하계1동,항동
하계2동,행당1동
한강로동,행당2동
한남동,행운동
합정동,혜화동
행당1동,홍은1동
행당2동,홍은2동
행운동,홍제1동
혜화동,홍제2동
홍은1동,홍제3동
홍은2동,화곡1동
홍제1동,화곡2동
홍제2동,화곡3동
홍제3동,화곡4동
화곡1동,화곡6동
화곡2동,화곡8동
화곡3동,화곡본동
화곡4동,화양동
화곡6동,황학동
화곡8동,회기동
화곡본동,회현동
화양동,효창동
황학동,후암동
회기동,휘경1동
회현동,휘경2동
효창동,흑석동
후암동,0
휘경1동,0
휘경2동,0
흑석동,0
